dataset,algorithm,input_name,input_size_a,input_size_b,completed_runs,mean_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,mean_comparisons,lcs_length,status_summary
data/database2,brute_force,Strings02.txt,2,2,6,0.000014597,0.000014132,0.000011511,0.000018188,3.00,1,completed
data/database2,brute_force,Strings03.txt,3,3,6,0.000016263,0.000016451,0.000014584,0.000017865,14.00,1,completed
data/database2,brute_force,Strings04.txt,4,4,6,0.000023762,0.000023275,0.000018543,0.000028930,36.00,2,completed
data/database2,brute_force,Strings05.txt,5,5,6,0.000021303,0.000019445,0.000018773,0.000030934,53.00,3,completed
data/database2,brute_force,Strings06.txt,6,6,6,0.000034758,0.000032238,0.000029217,0.000050904,173.00,3,completed
data/database2,brute_force,Strings07.txt,7,7,6,0.000060985,0.000044668,0.000041437,0.000096977,300.00,4,completed
data/database2,brute_force,Strings08.txt,8,8,6,0.000151715,0.000148664,0.000144457,0.000163286,1631.00,3,completed
data/database2,brute_force,Strings09.txt,9,9,6,0.000455503,0.000380315,0.000323995,0.000755352,4157.00,3,completed
data/database2,brute_force,Strings10.txt,10,10,6,0.000844751,0.000748982,0.000729377,0.001309986,8498.00,3,completed
data/database2,brute_force,Strings11.txt,11,11,6,0.002314575,0.002540255,0.001471885,0.002996587,20724.00,3,completed
data/database2,brute_force,Strings12.txt,12,12,6,0.003683047,0.003533891,0.003437575,0.004161138,48216.00,2,completed
data/database2,brute_force,Strings13.txt,13,13,6,0.008203811,0.006519513,0.006140848,0.015252132,90870.00,5,completed
data/database2,brute_force,Strings14.txt,14,14,6,0.008116210,0.007680819,0.007234030,0.010134030,98630.00,7,completed
data/database2,brute_force,Strings15.txt,15,15,6,0.033375678,0.032685572,0.031040201,0.038927028,469935.00,4,completed
data/database2,brute_force,Strings16.txt,16,16,6,0.071019587,0.068536671,0.067581050,0.082089021,1010176.00,4,completed
data/database2,brute_force,Strings17.txt,17,17,6,0.147065387,0.127985609,0.125124133,0.242967109,1844836.00,7,completed
data/database2,brute_force,Strings18.txt,18,18,6,0.360228938,0.364491271,0.323623240,0.390226550,4613465.00,5,completed
data/database2,brute_force,Strings19.txt,19,19,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings20.txt,20,20,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings21.txt,21,21,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings22.txt,22,22,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings23.txt,23,23,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings24.txt,24,24,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings25.txt,25,25,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings26.txt,26,26,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings27.txt,27,27,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings28.txt,28,28,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings29.txt,29,29,0,,,,,,,skipped_by_safety_limit
data/database2,brute_force,Strings30.txt,30,30,0,,,,,,,skipped_by_safety_limit
data/database2,dynamic_programming,Strings02.txt,2,2,6,0.000011214,0.000010656,0.000009606,0.000015708,4.00,1,completed
data/database2,dynamic_programming,Strings03.txt,3,3,6,0.000015546,0.000014626,0.000012515,0.000020873,9.00,1,completed
data/database2,dynamic_programming,Strings04.txt,4,4,6,0.000015800,0.000014552,0.000013471,0.000023969,16.00,2,completed
data/database2,dynamic_programming,Strings05.txt,5,5,6,0.000016790,0.000016906,0.000014318,0.000020340,25.00,3,completed
data/database2,dynamic_programming,Strings06.txt,6,6,6,0.000019055,0.000017194,0.000015836,0.000028587,36.00,3,completed
data/database2,dynamic_programming,Strings07.txt,7,7,6,0.000039400,0.000018396,0.000017541,0.000144111,49.00,4,completed
data/database2,dynamic_programming,Strings08.txt,8,8,6,0.000019784,0.000019742,0.000019059,0.000020652,64.00,3,completed
data/database2,dynamic_programming,Strings09.txt,9,9,6,0.000025876,0.000023588,0.000022276,0.000036156,81.00,3,completed
data/database2,dynamic_programming,Strings10.txt,10,10,6,0.000029846,0.000026662,0.000025765,0.000046418,100.00,3,completed
data/database2,dynamic_programming,Strings11.txt,11,11,6,0.000049973,0.000054419,0.000031407,0.000062791,121.00,3,completed
data/database2,dynamic_programming,Strings12.txt,12,12,6,0.000044433,0.000036851,0.000033656,0.000086547,144.00,2,completed
data/database2,dynamic_programming,Strings13.txt,13,13,6,0.000051293,0.000039620,0.000036754,0.000114380,169.00,5,completed
data/database2,dynamic_programming,Strings14.txt,14,14,6,0.000044445,0.000038031,0.000036741,0.000061105,196.00,7,completed
data/database2,dynamic_programming,Strings15.txt,15,15,6,0.000042843,0.000042791,0.000040645,0.000046222,225.00,4,completed
data/database2,dynamic_programming,Strings16.txt,16,16,6,0.000057205,0.000048425,0.000046747,0.000094879,256.00,4,completed
data/database2,dynamic_programming,Strings17.txt,17,17,6,0.000074819,0.000057779,0.000051897,0.000119341,289.00,7,completed
data/database2,dynamic_programming,Strings18.txt,18,18,6,0.000120342,0.000123869,0.000064881,0.000151657,324.00,5,completed
data/database2,dynamic_programming,Strings19.txt,19,19,6,0.000088620,0.000081139,0.000064628,0.000121936,361.00,6,completed
